Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
2.800000E-8	0.114582	4.246873E-8	0.000000	0.000000	0.000000	6.000000E-8	0.073958	3.884323E-8	0.000000	0.000000	0.000000
2.000000E-8	0.264590	3.989164E-8	0.000000	0.000000	0.000000	5.600000E-8	0.067616	5.048153E-8	0.000000	0.000000	0.000000
4.400000E-8	0.142146	3.080501E-8	0.000000	0.000000	0.000000	8.400000E-8	0.041570	3.050632E-8	0.000000	0.000000	0.000000
0.000000	0.380218	4.768370E-8	0.000000	0.000000	0.000000	4.000000E-8	0.069790	4.837587E-8	0.000000	0.000000	0.000000
4.800000E-8	0.109491	2.679101E-8	0.000000	0.000000	0.000000	7.600000E-8	0.617861	3.216202E-8	0.000000	0.000000	0.000000
2.400000E-8	0.248502	3.745317E-8	0.000000	0.000000	0.000000	6.400000E-8	0.061559	3.703634E-8	0.000000	0.000000	0.000000
2.000000E-8	0.237095	4.004162E-8	0.000000	0.000000	0.000000	5.600000E-8	0.074628	4.091764E-8	0.000000	0.000000	0.000000
3.600000E-8	0.146142	4.239100E-8	0.000000	0.000000	0.000000	6.800000E-8	0.055804	4.842576E-8	0.000000	0.000000	0.000000
3.200000E-8	0.177049	3.796168E-8	0.000000	0.000000	0.000000	6.400000E-8	0.099111	4.807540E-8	0.000000	0.000000	0.000000
8.000000E-9	0.200717	5.571244E-8	0.000000	0.000000	0.000000	4.800000E-8	0.074879	4.083511E-8	0.000000	0.000000	0.000000
